,userId,restaurantId,rating,user,restaurant
4372764,YgC5A_oMsF4n7zOcSJ55tA,INRkSdAPW2WUjVSdEPZa8A,4,843,11458
1142604,8DEyKVyplnOcSKx39vatbg,VmspRdKauEargr8YX1oL-Q,4,235,7539
490428,fVILhIglx6RNOXQba5t4kQ,tEaW0zgsYihSTjysrpXaWg,5,98,4052
2077619,w-zbeDbHvELwcQcQUsRfig,RIkiTtRMZASo7DmKd1vd5g,3,388,3577
4237401,MLf4JUa1uzQkDLrBJ5yJHA,aAkoJKozYZEyBx58wQ-UrQ,3,802,23715
210844,dIIKEfOgo0KqUfGQvGikPg,8_EtjhybjbIPn4NjER175Q,5,43,1409
3347401,9VwMmu12Rx9jWyDumWAbew,5DT2qxCkXxUKW7z_4kOXmA,5,646,1542
4226205,oIxsWOWytMmV4bf_ffo01w,Wbxyj-CoBXXvqQ0lpcDXGQ,3,755,23512
1112265,oigPots1DGB1tRxb8H-xaA,DE89UdHFMCN6DtYWZuer5A,4,223,262
740166,Pu2s5d_5E_dplzZQ3sFUfw,mHcfv-cdbx1LtR3n3FoooA,4,141,5465
5071897,hvs6n04dKZheWJVzhB7TDg,56HZLqQOcS1FSXqYG-3vLg,5,954,14216
3393828,aQJtyvmZg3kCd-tfZ6PLeg,oc0C1tb1m20kCXDqRogf4Q,4,637,19749
2641444,gSO_NFz9zJaddMbldkfOfw,#NAME?,4,483,15512
4572442,7yqrpYxl2cJ4_jqOIa9Z2w,k0Bj4ZYyoICz6Mhx2f9Udg,2,880,25183
1796998,tCbEkK11lnqeaNVkhlurrQ,g85SZxK9lcCTDjE4nHBmCw,4,301,11160
620308,FzVJ7hLieHIhKgK2T3O6EQ,iS1AKJO8Vwx23pcbm_fv8g,4,112,4932
2345414,cZMn2p8HbzEkFknbvM8e9A,JlMYSLiLnpWiihmzZkQS-w,1,439,13920
4119982,DzMmu-S22uWYCPRnYaGi2A,8VRFTBbjAw1qusLiFLXbKQ,4,787,20884
4298268,wp6tHXlUkGL33P6rJiO-hg,rLjRQZ9QfI0fL_I-gCJoJQ,1,830,24156
5176652,6-g1Aw92UoDijvc4k-wWdw,ri2oTIqmqMB6XOwvM2pDuQ,4,988,27391
1101191,Uwu72w77MPox942_GnCS7g,T-a4HuTSELZ3qm_nos_Qtg,3,221,3440
331014,R6vb0FtmClhfwajs_AuusQ,bShvndep-EC8qToFXM5ouw,2,67,1194
1329984,MUsXhUuDRzGLkh2l3aNDGA,bc3qgRXb8mln0CGgUCTdug,5,259,8597
676800,w9e5SuLymKORVm9inVjh7A,1Vvxx-9AoINg8TJXOZgEHg,1,129,5133
212876,dIIKEfOgo0KqUfGQvGikPg,OwTVM5D35QQlwnzEodMZeQ,3,43,1802
3035053,#NAME?,x5yBZsTnFb1ah75XRXJz9Q,3,572,11435
294869,1DsuFRjdW0gDA23Xswzoqg,NuWO33ctXbcBkeM1zUH0Xw,5,57,2612
1822900,Ux4k0W1fvJED0PdU6I8pkA,gugN1sgyheBJ6aKtNcv_gQ,3,340,11370
4536773,t8vDCPg-8z-d9ePghOTXWQ,cfEm-vdgYmQomPxEBVKXjQ,5,870,24645
3932872,QkNuVpkhV_wTApylrKOMDg,b-bHa-ziECvPpp9AsTBlRw,3,758,22246
1540416,Rzf35jKV8e8EJdssrae_AA,jlbP9Yd0AQP8OlcsFkZ4hQ,2,202,4494
325534,FIOxsy96PmDFAomTReCQ3g,UHPjDgiEHnTe7-MP-b2kyQ,5,64,1560
906055,5y_4KmkywV9DMSFyoTcYdA,TmWz4ZvsNgXj_VMPw6G21w,5,179,6229
2500709,yTh2hTDEO8hHhxXrdn_90Q,kUPEXMZE6Jf5-f_I37ppxw,5,468,14708
178522,6gZBMMTC_47cDL_LDkr3ng,t-o_Sraneime4DDhWrQRBA,3,35,824
3545660,cvwNVNGo7Kg3SptTPMBnFQ,ygaOvp0PLBYaYeN9cZAlGg,5,680,11396
1144772,Uwu72w77MPox942_GnCS7g,VPy6caA99Yh32k8ED6WaCw,5,221,7619
1069483,DKdttAvXagfAfNFIKeApuw,V9-vox971uckKmujXMhVGg,2,213,6938
804499,k1tnTuz_sWsJSVCT37F4TA,POkNk-y-sS2Od39kP5NN5Q,2,152,5690
3092141,JeB743IM4osdiOTS8FwFyQ,iBPSrhDr7IlfMywxCIp-wA,1,581,11901
3971132,dGrOHbeqmIV2mtLV704SaA,GAyHbuUTtKAdpHiFGJuezQ,4,763,13804
2825145,c3_AdjAlMy4EJYQhuXADgA,OYB1niC3P2qP8Jf0bigB7A,5,473,16369
3513182,PKEzKWv_FktMm2mGPjwd0Q,F4evnLRw0aTEF2m9OXD44g,2,411,20384
3359815,57tf_RmT5o3BiFj2gpV-Jg,LFhkMq9DCSGpYI5Cdlpyiw,4,624,19517
4603000,eAJ3Ip0vh-zuk_BmcmchYA,fnsqnYAt7lp9oIk0DfwRoQ,5,888,25269
4718425,-3PTUP443q6hQESLKSu95w,e_P0OHb-ly0vrWWWFV490g,4,797,25800
4383255,sjWvk3DZapZ-9ULAFtDmYw,3Z2H8TFW5OTubRrwkRejpw,4,832,4538
2268280,PKEzKWv_FktMm2mGPjwd0Q,eMQ78GZIAlrRiJUDbtqTKg,4,411,13558
474713,gwIqbXEXijQNgdESVc07hg,#NAME?,3,94,3915
3537339,nefYrZL3vAdTd9SBPf8kPg,WKH0JEGNNqzzYlyAjxvGJg,4,677,289
3129427,osQ4bMibJLmMPAtovvEkJw,WgBV0Sm-yNVgfI__5m1Bug,5,573,17748
4151275,-3PTUP443q6hQESLKSu95w,zvtkeghW0Px5HY9QkJ4INw,4,797,17469
4247025,x7zoxuIXfaPNDl_CJOBlpA,yfnnctsJVRgF1uP_FyIc-g,1,796,23780
1480778,ZYMuXozj9Bukuh1UXTf6tw,A5IQhhf2c9i2PwVmj92WJQ,4,293,9447
188171,iCG9Z_4TDOxMG_aLWM6LHw,MpovsyjkSkchD7ssAdEVKQ,4,37,931
3219510,MXSxOS8UYw1Bh1UHoKg3UQ,IXXZ--J60dbcsWgN8Lq3tw,2,619,18360
2566583,PeLGa5vUR8_mcsn-fn42Jg,PiQB4iJXu0zDjdIFw8XhQQ,4,413,15073
2528275,yH1rIEvxXPb_YCmRQVRdBw,38O-fpmF0qFwYBgymUVrow,3,474,14851
1369935,l9qBAR5HSr0rH2Sv96tIVg,Y-MA4VmgoY2A3Jfasxpn1w,3,267,8802
3493617,0ygWZ_gXF8qTm0bY95JJqA,iJi7yebXoPVXRyGqqL-v8g,5,620,2038
962081,DG1QPjVVsCcXiKP3xGh3pQ,Zd_VepeAl_SCzLAUcv1S8Q,5,187,6540
829877,NnL6HUNY9ckb9mSbTGkjOg,RAh9WCQAuocM7hYM5_6tnw,4,160,2079
1874891,i6V3NyTdkBVwPpH7r2BINA,P53-vcUZne1L1CNElu9m-g,3,341,11668
3198064,355UEtoVqk4ZFecR1itrCQ,px5RbIZm3rxRzi-g2f83KQ,4,610,18243
4729149,PXe-x5SAMzAEn8EOBCVgeA,HrG_BxmOMPbqstycmzORzw,4,912,25851
3330628,RBZ_kMjowV0t6_nv2UKaDQ,DncyhhT6-T-_g961pbEftA,4,599,10014
3351327,eJBDhJRZhuL49rCNh_QnMQ,SuugmVDsQ8YhfdOJYSuSmw,3,648,19449
1316063,HL1i92PYSxAzcsSNisBG8w,u71djaZjecGVU1MqMevQ4g,5,256,8480
2631217,8DGFWco9VeBAxjqsuh1aSw,N8uKQ5Vdb1LAh-qXT_25Rg,4,446,714
5150306,ZkmKyB9660N9d30GIrBGTQ,9k5o-P9-L2e7qCscJFR1-A,3,980,27205
213595,dIIKEfOgo0KqUfGQvGikPg,oVuvM9YLTSiA40fZRmnrIA,5,43,2055
3582526,RBZ_kMjowV0t6_nv2UKaDQ,fYISBJhVMef0wOqX8JUxlQ,4,599,20761
471242,gwIqbXEXijQNgdESVc07hg,YRyYbOSwvHkZsZOLv98oQg,4,94,3531
471120,gwIqbXEXijQNgdESVc07hg,QF4tRJ-ot7dYwebAsn0seg,4,94,3418
3232976,i7mBC7m7k2FLrdVUx0UqUg,XY0EnXHhMwmHpG7Pp1rU3w,2,601,3524
3649444,PKEzKWv_FktMm2mGPjwd0Q,rN3gHTjqx5sOnoUpJ-6jyg,3,411,21186
2800106,KWyHXPub1EvMx74pTIODaw,355zerURpj4IMs2no238_A,4,528,116
3195647,#NAME?,wkD7dqOPm_zV-XwZ5YWedQ,3,572,18198
2500889,PeLGa5vUR8_mcsn-fn42Jg,0gXYLVPNWz0WT8wXQVpS0g,5,413,1713
1892863,MFnXQb1R1IGLL_-W4oflJw,kK584Af-ny3m--9SIsrFhQ,4,357,11844
3405178,pMefTWo6gMdx8WhYSA2u3w,JhQyOcVCkzNANOXgrbW11A,4,557,19780
1702999,LMhTti4tnUvPwON8yREDcg,HKUYckwNiKrUQP7Ft_H9QA,4,326,10649
2237146,#NAME?,fL-b760btOaGa85OJ9ut3w,3,419,7497
1290139,g3HFkZgloxLQCvoJ5Zs5gg,IB8zLlGraOg9LU7qQVLPyg,5,252,1808
4368660,dqKGX-Zz61Cz62S86mHNmg,NPHZkn1e-tSJAbo8Zm9rYw,4,841,12916
2566616,PeLGa5vUR8_mcsn-fn42Jg,l4aOxIebSHm503N0uWeyPw,2,413,15088
1668564,taMbJdCWtrZBdWRP_VYFrg,alhPi-m6Ir4id9eBV77rwQ,5,320,10506
4703298,9hFid3EZ64e1c53ej1q9MQ,SycXTaA4MeJZuDK4Y1owDQ,1,900,10899
442469,YJNVwDdzwjwhptzh9y2vBg,LYHMZOBRSAi_TR-5Xh-4pA,5,85,3189
1373366,6UDQUMQQssvYZKO3x_A-zw,Q7oKidQDV52LEPfiwizSNQ,5,268,5417
3062449,onBF_LwNMcwNbneSwp9AxQ,mD7zqv7Y3kvsa_p_MtTayg,4,575,807
4564129,4wp4XI9AxKNqJima-xahlg,CTiWs36A_sX3eahdqrYxUQ,5,877,24798
1492396,TbhyP24zYZqZ2VJZgu1wrg,5ID843Ti7L0aa7BQIeXNaw,5,153,7599
1472084,Rzf35jKV8e8EJdssrae_AA,iqdZu1PBn9TpAPkHnePDNA,4,202,9338
2421620,PeLGa5vUR8_mcsn-fn42Jg,flE7Sn2JGs0n3SAtaep6Zw,5,413,1014
474424,gwIqbXEXijQNgdESVc07hg,mBU4G-eh-GN2Tp1X-uLb3A,3,94,3808
3139516,oV7y4SWedci6R-E9gU1W9A,Vyc16Q_MNfS6cgixdjbMPQ,4,593,17779
646671,7of5R3aLB3OUyUPQFyHm5A,tDTUSKxPUUkpFaxBZZl4Cw,5,119,5021
2354722,25W8CVIdQDIkyPb8ISCGpQ,JY4RNqOwaaEhxEAJ2So7KA,3,404,14002
4203108,x7zoxuIXfaPNDl_CJOBlpA,6MVXSeG_hUfrD8kkVXSYYg,1,796,23285
4702816,gVmUR8rqUFdbSeZbsg6z_w,eDlgbI0Qg_mmI-Osvci0gw,4,908,1498
3482371,pMefTWo6gMdx8WhYSA2u3w,w_rv5AjdUWGnDj2KUOloog,3,557,20226
2237043,Z050g0t-eFGMJot7RJa6Bw,ty5KQYqYRxwXDG_e4pz-4w,5,418,1928
1059190,DG1QPjVVsCcXiKP3xGh3pQ,vazCBq6DH9LnCQ3cH7E4Og,4,187,6838
474034,TOxBGs3yzAsh5BMp1W8tiw,Ak08F6RqjHYmVCzweBbTrQ,2,88,3635
2719975,rW8WuLpZPk9btE3TgkQw2Q,6rFjfFSavabsIxEKuWdk5w,3,512,15920
3645321,EBDWVh0sE3HgiqgMuXBsuQ,pOtdsa2yiFeNs4VdoAGGqA,5,702,10493
3344577,tH0uKD-vNwMoEc3Xk3Cbdg,wke61EJKd1Yw6q1BR1npZw,4,533,17347
3456646,ehzvSXsijzgxsYHvXeaS-Q,TJseLzjLO8F1Vq79_Obgyg,5,628,20072
2126195,25W8CVIdQDIkyPb8ISCGpQ,KDv4d-yz2mwWtyHnnKaoew,2,404,13025
3168322,tH0uKD-vNwMoEc3Xk3Cbdg,IzHfj2uahaUaMw9VD0VEEg,2,533,15698
1112610,IAaO3dItWVL-aFYq-cATuA,lC1bj0QhHp8cyzUtvrmeBQ,5,224,1994
3645721,9w-cC26Oe48rdzN1mh13sg,3sOS8wKatd_Uoa9VEJHhrw,5,703,21126
1788073,5hF7C9dd9tuNTLPZ4KBLyA,XgRljuEUyaHBKIpIz-PRAA,4,344,11113
1629517,ia3kezgvnboBaiv13WUuhA,DtYlirJxSXYQc1LJ9c0HWA,1,308,10335
4702814,gVmUR8rqUFdbSeZbsg6z_w,bCm3qjmxCPXw-k8BTS-m7A,4,908,7654
4126938,oIxsWOWytMmV4bf_ffo01w,IBhkoUMQWcN7O69Xdy807w,4,755,22839
3995202,oIxsWOWytMmV4bf_ffo01w,Gj9BJ_xczNkkLZVI0FBguA,3,755,22437
2573302,53JHz4dbMg9JfuzakOZK4A,GIhzzb9tjqLCYdNP_k3-dQ,5,433,1353
2619562,c3_AdjAlMy4EJYQhuXADgA,Y6F9a6Rv_4nhDIZ2VfQFrg,2,473,15350
4507949,N0qq4upibIRvLzE2SzVPtQ,28adZ4lsuUeVB2aWzohK9g,5,864,6553
4513743,N0qq4upibIRvLzE2SzVPtQ,a9aW5e731lplWGHUZ02-zQ,5,864,11754
4093586,MMf0LhEk5tGa1LvN7zcDnA,7cK9uEV09iPmsTqOqmY3kQ,5,715,1894
5011138,cmZyb4KC5zY7dsP5DzHyRg,1tZHPFgHUCZ-PTUMIjA1Ng,1,958,26673
3330564,RBZ_kMjowV0t6_nv2UKaDQ,QdwDaC_1qF4Fv2J3nUshxg,5,599,9993
3271344,UhlXS6NdA5k4SRunpcKHJw,BLRRlirv3lOqCNS2JBHTzQ,3,607,18770
1880744,-50XWnmQGqBgEI-9ANvLlg,I8njH4yX3UXS0a7IvfsPVQ,4,367,11797
1853708,aq7PsU-EerT2gSPsBc_FCw,jH72pWtc1KXavB3zNtOu9A,5,361,3196
1629555,ia3kezgvnboBaiv13WUuhA,25qudn87oiNYg8jnoi4d1A,1,308,10357
490931,fVILhIglx6RNOXQba5t4kQ,sNVGdeOPeitJ3OWUQBINzQ,5,98,4258
3510947,iTxPwAK3uqAIg1YtB2nFKw,YEuYaxTmVi_VfDTvodjx5g,1,672,1129
1268184,8DEyKVyplnOcSKx39vatbg,6tSvz_21BMo3a4GaItwa0g,2,235,8197
3112994,#NAME?,#NAME?,2,572,17682
5115249,yaWnpONXlvdXbi36aKcznw,xtktc6OTdtilAREgJH-P4g,4,973,27157
1924129,LMhTti4tnUvPwON8yREDcg,5Coac2t6e38atYqTHut_Zw,4,326,12047
2585832,cZMn2p8HbzEkFknbvM8e9A,G8vA6pq4p8KslaURm-q65Q,5,439,15211
1963606,QuZbJquRtbY9O9JrB9NpxQ,fHJVSfXbPYrykIMRZ0Fsgg,2,311,12339
4702733,gVmUR8rqUFdbSeZbsg6z_w,nDj2LrpjZHTM8X-EqHSR9A,5,908,676
4203038,x7zoxuIXfaPNDl_CJOBlpA,APPZiUz_CEvR_--qY-tbig,5,796,904
2573280,53JHz4dbMg9JfuzakOZK4A,M-vbfoJ7Nsbmza17NiIn5w,4,433,2475
3359797,57tf_RmT5o3BiFj2gpV-Jg,hizOy2ESSnxJWJdb3s_tFw,4,624,19508
4703351,9hFid3EZ64e1c53ej1q9MQ,E62l6LwZJ7lKaExcUbrtYw,5,900,11128
2756114,PKEzKWv_FktMm2mGPjwd0Q,2YRt1583-kaJavEG3tPFRg,4,411,16090
3329684,pMefTWo6gMdx8WhYSA2u3w,uTu6FrJYMfB6zKdjwLjB9g,2,557,6525
2714844,9EWR2_AULBcXID8ptXX_kA,dc3uoAmNo5STqKV6mlD_aA,4,511,5191
2601151,JoT5g6CXb8CBQ_QLmKnIRA,tzEMKoLQY-ZEE6r0FO_OgA,4,494,15290
1727155,tCbEkK11lnqeaNVkhlurrQ,0qMmjPkyTafIMOE_PVF9Ew,5,301,10797
3645722,9w-cC26Oe48rdzN1mh13sg,GlIE5vye0vk2-EYwiKjWkQ,3,703,21127
4729217,PXe-x5SAMzAEn8EOBCVgeA,Un0QXKDscxlI_yi3u14ALA,4,912,25881
3866851,MMf0LhEk5tGa1LvN7zcDnA,3wOoX-Bc9NLfe5rLfL3ARQ,4,715,22134
209665,dIIKEfOgo0KqUfGQvGikPg,xjjxHavx4RIiW6zS6rasGA,4,43,1388
3536832,tH0uKD-vNwMoEc3Xk3Cbdg,Bm8nRUsZ-dK6g2eJLxMTOw,2,533,8398
608583,aU8saUu9QhSFvnYeUsxO-A,8VQu2-4UOXNm0eqVpjkE_Q,5,105,4827
3330589,RBZ_kMjowV0t6_nv2UKaDQ,LpK_4zdK3kxtpAiLcwEohg,4,599,11959
1144774,Uwu72w77MPox942_GnCS7g,wwoOWTunPh4QnaKW11Zl7A,4,221,7621
2810073,tH0uKD-vNwMoEc3Xk3Cbdg,82YGtjc5KKikNiqBZ33qzw,5,533,4080
710171,m7z-tX6XDZ27xGhGjnI21w,B70iTJjcPkuYn8ouUewWgw,4,127,5330
4352770,sjWvk3DZapZ-9ULAFtDmYw,2iLeiQ4OCJVwfodR9egMag,5,832,1598
645165,PMweGTDXZrDmWx5sG6ZKbQ,bFlP7uApDamdiVHwX8OwfA,4,80,4995
1807220,WrhnuLDFmyu_bB-FLP_gsA,xrP2Cmx8401P_o1tCel98Q,4,351,11273
3159711,1fNQRju9gmoCEvbPQBSo7w,kVEQoRHbbmcUb0FMtaAxmA,1,561,6365
1647211,pvwEROiu2kfTqyp6cG2HIA,oz4oVv0yiPFdnKnTw01TGw,5,296,10372
3498209,RBZ_kMjowV0t6_nv2UKaDQ,pxCchlWQm8rM8pbcPg6R1g,5,599,20299
1923058,4r5Jg4UzNk-1NBlT2Bu9gw,8xCiibfgqy-8xpCWEaguqg,2,377,11999
2601164,JoT5g6CXb8CBQ_QLmKnIRA,e635MS0RO24E409g8GJYjg,5,494,15298
3514587,ZNkpsi353TRp2AhFFT9V-Q,EtLmuDIMsBCmqdgpysz60Q,2,673,19510
2587080,PKEzKWv_FktMm2mGPjwd0Q,tYM2IKe3W5oRKY_GjqsVvw,3,411,15243
3602061,iTxPwAK3uqAIg1YtB2nFKw,cPEo3-TmIqCwHLFGKZgwGg,5,672,15114
3994336,Ctj6-3xnhCONjS6ZTG3Jjw,5cXym2kMtJgKeaxdF2SrJA,3,767,22389
1852197,ZxmjeYevbvDzEdB9KMB1hw,OaYFmS4RzTYbr5StxnmWKA,5,360,11500
2103745,HZbcRlpjmTbMh6YL-Tdcfw,cHdJXLlKNWixBXpDwEGb_A,4,398,6940
5150305,ZkmKyB9660N9d30GIrBGTQ,cgEzHZQKhi2anXfyF75MQw,3,980,23642
872993,yRB4UrgnLs3BxbVM1QQ0Gw,VZl29j0EMaXP_RLf78sR9Q,2,169,6082
212788,dIIKEfOgo0KqUfGQvGikPg,1fX9x47Xm6vIr8sHxQHdsw,5,43,1717
4127703,OdbIVdpXvlaU69eDR5AUaQ,awI4hHMfa7H0Xf0-ChU5hg,5,791,376
4564238,4wp4XI9AxKNqJima-xahlg,kyS7_vA_kNIluBQDOyWfIw,2,877,24856
279845,MopyJvrcBSgQYfyA4wyP7w,FFCzkdXM1AbMTuckTrzf-Q,4,53,2258
4368659,dqKGX-Zz61Cz62S86mHNmg,UJevx59U-bi6fRADCSa7LQ,3,841,12658
2201561,jfUTkA8sIhiw5ahn9-9HPg,RZGnCM5qlDgNTREtfPwZCA,4,402,13342
1908618,QuZbJquRtbY9O9JrB9NpxQ,k_DUgRGUPyYbOsmHziOieQ,5,311,9027
